H,S,V,Target
0.000,0.000,0.000,1
0.136,0.176,0.173,1
0.181,0.174,0.185,1
0.142,0.229,0.161,1
0.171,0.190,0.169,1
0.157,0.197,0.159,1
0.142,0.267,0.162,1
0.150,0.216,0.175,1
0.161,0.151,0.195,1
0.153,0.121,0.190,1
0.125,0.295,0.112,1
0.157,0.176,0.173,1
0.167,0.193,0.177,1
0.148,0.223,0.181,1
0.148,0.184,0.175,1
0.152,0.225,0.184,1
0.162,0.183,0.181,1
0.151,0.213,0.186,1
0.154,0.193,0.181,1
0.144,0.199,0.167,1
0.185,0.314,0.161,1
0.153,0.199,0.167,1
0.171,0.209,0.180,1
0.182,0.202,0.196,1
0.142,0.207,0.182,1
0.143,0.231,0.171,1
0.167,0.216,0.175,1
0.212,0.244,0.207,1
0.159,0.189,0.224,1
0.142,0.177,0.213,1
0.146,0.221,0.167,1
0.162,0.178,0.186,1
0.172,0.170,0.167,1
0.167,0.228,0.166,1
0.155,0.153,0.175,1
0.175,0.203,0.177,1
0.126,0.220,0.171,1
0.162,0.197,0.178,1
0.159,0.203,0.186,1
0.146,0.162,0.182,1
0.572,0.542,0.394,2
0.576,0.528,0.394,2
0.574,0.541,0.405,2
0.569,0.525,0.426,2
0.573,0.531,0.412,2
0.574,0.526,0.396,2
0.575,0.532,0.401,2
0.569,0.529,0.410,2
0.564,0.540,0.424,2
0.571,0.527,0.408,2
0.578,0.556,0.410,2
0.569,0.581,0.417,2
0.568,0.501,0.420,2
0.572,0.525,0.419,2
0.571,0.520,0.430,2
0.569,0.540,0.444,2
0.572,0.543,0.410,2
0.571,0.557,0.390,2
0.570,0.539,0.439,2
0.572,0.516,0.456,2
0.571,0.527,0.420,2
0.569,0.536,0.412,2
0.570,0.527,0.405,2
0.571,0.516,0.426,2
0.574,0.512,0.399,2
0.564,0.547,0.414,2
0.569,0.505,0.446,2
0.570,0.499,0.433,2
0.568,0.516,0.430,2
0.570,0.530,0.396,2
0.571,0.523,0.428,2
0.569,0.560,0.439,2
0.569,0.557,0.424,2
0.566,0.591,0.419,2
0.570,0.552,0.419,2
0.569,0.496,0.486,2
0.571,0.502,0.480,2
0.316,0.538,0.416,3
0.309,0.576,0.412,3
0.310,0.552,0.407,3
0.311,0.542,0.416,3
0.312,0.556,0.437,3
0.311,0.543,0.407,3
0.316,0.548,0.433,3
0.318,0.530,0.468,3
0.315,0.522,0.481,3
0.311,0.547,0.410,3
0.311,0.534,0.441,3
0.316,0.542,0.416,3
0.307,0.570,0.410,3
0.315,0.540,0.414,3
0.311,0.554,0.417,3
0.313,0.550,0.417,3
0.313,0.560,0.414,3
0.311,0.552,0.437,3
0.311,0.562,0.443,3
0.313,0.590,0.435,3
0.310,0.564,0.437,3
0.308,0.572,0.430,3
0.310,0.556,0.433,3
0.309,0.561,0.433,3
0.312,0.526,0.453,3
0.313,0.517,0.443,3
0.310,0.576,0.430,3
0.315,0.555,0.401,3
0.311,0.543,0.410,3
0.311,0.560,0.437,3
0.310,0.562,0.435,3
0.167,0.682,0.382,4
0.168,0.655,0.405,4
0.165,0.676,0.397,4
0.168,0.682,0.394,4
0.170,0.674,0.395,4
0.170,0.650,0.444,4
0.173,0.639,0.468,4
0.172,0.647,0.458,4
0.172,0.631,0.469,4
0.172,0.622,0.477,4
0.170,0.641,0.566,4
0.167,0.640,0.560,4
0.169,0.638,0.431,4
0.168,0.675,0.385,4
0.171,0.633,0.471,4
0.168,0.652,0.433,4
0.164,0.682,0.394,4
0.167,0.664,0.406,4
0.170,0.646,0.436,4
0.170,0.641,0.451,4
0.168,0.656,0.554,4
0.170,0.640,0.455,4
0.169,0.670,0.412,4
0.168,0.671,0.392,4
0.166,0.673,0.383,4
0.168,0.651,0.422,4
0.169,0.647,0.427,4
0.170,0.668,0.399,4
0.167,0.687,0.388,4
0.172,0.645,0.462,4
0.165,0.676,0.386,4
0.170,0.650,0.447,4
0.167,0.682,0.388,4
0.168,0.670,0.412,4
0.166,0.663,0.383,4
0.168,0.659,0.410,4
0.167,0.686,0.381,4
0.017,0.692,0.463,5
0.025,0.716,0.428,5
0.015,0.667,0.439,5
0.016,0.684,0.468,5
0.025,0.706,0.420,5
0.020,0.672,0.475,5
0.019,0.690,0.454,5
0.021,0.680,0.428,5
0.017,0.726,0.417,5
0.019,0.705,0.406,5
0.016,0.718,0.405,5
0.015,0.694,0.431,5
0.017,0.704,0.438,5
0.020,0.684,0.457,5
0.016,0.691,0.438,5
0.021,0.690,0.477,5
0.018,0.686,0.466,5
0.017,0.694,0.460,5
0.023,0.715,0.542,5
0.023,0.711,0.541,5
0.027,0.704,0.546,5
0.022,0.698,0.572,5
0.026,0.712,0.550,5
0.026,0.728,0.562,5
0.024,0.718,0.561,5
0.024,0.694,0.523,5
0.019,0.711,0.528,5
0.026,0.764,0.526,5
0.024,0.763,0.533,5
0.018,0.721,0.421,5
0.572,0.095,0.561,6
0.561,0.087,0.520,6
0.565,0.085,0.499,6
0.544,0.069,0.453,6
0.567,0.066,0.421,6
0.566,0.071,0.491,6
0.542,0.068,0.434,6
0.569,0.085,0.523,6
0.562,0.085,0.523,6
0.564,0.080,0.508,6
0.538,0.059,0.407,6
0.557,0.080,0.504,6
0.574,0.090,0.530,6
0.542,0.067,0.442,6
0.574,0.090,0.534,6
0.551,0.076,0.438,6
0.561,0.064,0.429,6
0.526,0.066,0.449,6
0.571,0.088,0.541,6
0.552,0.066,0.449,6
0.547,0.065,0.453,6
0.560,0.072,0.500,6
0.562,0.064,0.460,6
0.571,0.059,0.438,6
0.559,0.082,0.505,6
0.517,0.050,0.372,6
0.545,0.051,0.397,6
0.521,0.055,0.401,6
0.532,0.058,0.414,6
0.542,0.062,0.416,6
0.542,0.068,0.434,6
0.554,0.079,0.467,6
0.552,0.064,0.460,6
0.552,0.079,0.491,6
0.560,0.073,0.456,6
0.556,0.077,0.499,6
0.553,0.081,0.497,6
0.556,0.093,0.532,6
0.560,0.083,0.522,6
0.022,0.672,0.511,5
0.017,0.686,0.460,5
0.017,0.682,0.414,5
0.019,0.685,0.464,5
0.021,0.700,0.444,5
0.018,0.682,0.471,5
0.019,0.675,0.450,5
0.021,0.681,0.447,5
0.025,0.714,0.523,5
0.026,0.666,0.438,5
0.022,0.704,0.546,5
0.026,0.702,0.472,5
0.025,0.680,0.474,5
0.017,0.701,0.433,5
0.022,0.667,0.486,5
0.141,0.251,0.168,1
