H,S,V,Target
0.000,0.000,0.000,1
0.105,0.232,0.139,1
0.115,0.197,0.135,1
0.128,0.178,0.134,1
0.118,0.211,0.135,1
0.144,0.188,0.142,1
0.147,0.160,0.144,1
0.095,0.232,0.139,1
0.152,0.197,0.164,1
0.117,0.178,0.140,1
0.140,0.185,0.155,1
0.106,0.189,0.146,1
0.121,0.145,0.140,1
0.119,0.176,0.146,1
0.074,0.211,0.157,1
0.100,0.028,0.165,1
0.133,0.180,0.128,1
0.108,0.208,0.137,1
0.096,0.209,0.145,1
0.097,0.185,0.155,1
0.117,0.270,0.126,1
0.109,0.213,0.112,1
0.123,0.208,0.168,1
0.122,0.211,0.131,1
0.146,0.239,0.123,1
0.101,0.176,0.146,1
0.135,0.208,0.142,1
0.095,0.166,0.155,1
0.128,0.217,0.182,1
0.128,0.258,0.139,1
0.068,0.175,0.142,1
0.131,0.197,0.131,1
0.565,0.575,0.467,2
0.566,0.570,0.484,2
0.565,0.579,0.489,2
0.563,0.577,0.478,2
0.562,0.579,0.489,2
0.564,0.590,0.471,2
0.564,0.571,0.464,2
0.563,0.580,0.482,2
0.565,0.579,0.494,2
0.565,0.568,0.486,2
0.565,0.550,0.475,2
0.565,0.577,0.466,2
0.565,0.570,0.488,2
0.565,0.574,0.492,2
0.566,0.556,0.498,2
0.564,0.578,0.484,2
0.562,0.548,0.480,2
0.564,0.559,0.484,2
0.563,0.555,0.488,2
0.565,0.558,0.488,2
0.564,0.592,0.488,2
0.563,0.585,0.475,2
0.558,0.437,0.419,2
0.570,0.391,0.466,2
0.564,0.565,0.482,2
0.564,0.571,0.480,2
0.564,0.558,0.500,2
0.537,0.515,0.493,3
0.540,0.508,0.509,3
0.541,0.506,0.500,3
0.538,0.514,0.500,3
0.524,0.464,0.522,3
0.524,0.475,0.554,3
0.524,0.482,0.469,3
0.527,0.488,0.471,3
0.527,0.473,0.500,3
0.525,0.477,0.478,3
0.542,0.510,0.511,3
0.526,0.481,0.465,3
0.538,0.513,0.491,3
0.526,0.481,0.468,3
0.538,0.501,0.501,3
0.524,0.475,0.554,3
0.537,0.512,0.501,3
0.538,0.503,0.518,3
0.539,0.508,0.501,3
0.540,0.503,0.503,3
0.538,0.510,0.503,3
0.525,0.464,0.488,3
0.539,0.501,0.509,3
0.121,0.243,0.167,1
0.152,0.271,0.193,1
0.165,0.293,0.280,1
0.190,0.282,0.283,1
0.190,0.273,0.314,1
0.194,0.281,0.305,4
0.201,0.208,0.408,4
0.207,0.197,0.425,4
0.203,0.186,0.431,4
0.202,0.177,0.436,4
0.202,0.176,0.440,4
0.203,0.186,0.431,4
0.211,0.169,0.451,4
0.200,0.171,0.452,4
0.204,0.165,0.451,4
0.198,0.174,0.445,4
0.197,0.169,0.425,4
0.210,0.177,0.420,4
0.199,0.169,0.447,4
0.199,0.169,0.445,4
0.996,0.593,0.425,5
0.003,0.668,0.435,5
0.005,0.664,0.457,5
0.006,0.680,0.452,5
0.006,0.699,0.425,5
0.995,0.711,0.334,5
0.997,0.640,0.373,5
0.545,0.061,0.390,6
0.508,0.049,0.375,6
0.530,0.064,0.401,6
0.544,0.073,0.429,6
0.547,0.069,0.427,6
0.557,0.069,0.427,6
0.536,0.069,0.427,6
0.542,0.075,0.442,6
0.552,0.092,0.421,6
0.533,0.066,0.418,6
0.556,0.068,0.408,6
0.552,0.071,0.412,6
0.544,0.076,0.414,6
0.563,0.581,0.475,2
0.565,0.552,0.480,2
0.565,0.572,0.473,2
0.566,0.587,0.467,2
0.569,0.582,0.458,2
0.569,0.569,0.444,2
0.574,0.529,0.386,1
0.576,0.453,0.343,1
0.567,0.385,0.248,1
0.540,0.117,0.166,1
0.563,0.580,0.473,1
0.133,0.186,0.148,1
0.242,0.130,0.155,1
0.528,0.180,0.184,1
0.555,0.271,0.207,1
0.557,0.335,0.234,1
0.563,0.357,0.245,1
0.553,0.444,0.331,1
0.538,0.484,0.439,3
0.530,0.492,0.482,3
0.539,0.515,0.486,3
0.540,0.514,0.500,3
0.538,0.521,0.500,3
0.538,0.517,0.503,3
0.539,0.515,0.505,3
0.539,0.514,0.507,3
0.147,0.160,0.144,1
0.135,0.246,0.157,1
0.106,0.265,0.153,1
0.053,0.288,0.182,1
0.052,0.448,0.222,1
0.023,0.497,0.265,1
0.021,0.516,0.280,1
0.019,0.511,0.284,5
0.023,0.538,0.305,5
0.023,0.571,0.332,5
0.016,0.667,0.401,5
0.002,0.645,0.397,5
0.010,0.673,0.420,5
0.005,0.690,0.424,5
0.007,0.690,0.419,5
0.318,0.115,0.353,1
0.210,0.119,0.357,1
0.518,0.183,0.286,1
0.224,0.159,0.335,1
0.267,0.094,0.341,1
0.000,0.000,0.000,2
0.577,0.257,0.498,2
0.583,0.172,0.482,6
0.576,0.137,0.482,6
0.569,0.114,0.486,6
0.560,0.094,0.488,6
0.570,0.428,0.505,2
0.564,0.536,0.503,2
0.564,0.554,0.503,2
0.564,0.574,0.505,2
0.563,0.572,0.503,2
