H,S,V,Target
0.010,0.652,0.637,5
0.008,0.661,0.649,5
0.003,0.633,0.651,5
0.011,0.609,0.644,5
0.009,0.661,0.649,5
0.017,0.674,0.629,5
0.551,0.444,0.595,2
0.550,0.466,0.586,2
0.550,0.465,0.584,2
0.549,0.468,0.580,2
0.552,0.490,0.556,2
0.550,0.469,0.582,2
0.549,0.432,0.590,2
0.025,0.672,0.474,5
0.249,0.479,0.311,3
0.266,0.462,0.325,3
0.261,0.450,0.370,3
0.250,0.507,0.336,3
0.257,0.530,0.325,3
0.249,0.497,0.307,3
0.249,0.520,0.297,3
0.251,0.476,0.305,3
0.259,0.476,0.305,3
0.272,0.483,0.265,3
0.266,0.479,0.332,3
0.258,0.502,0.279,3
0.253,0.538,0.316,3
0.249,0.436,0.361,3
0.126,0.324,0.173,1
0.130,0.325,0.155,1
0.106,0.183,0.181,1
0.151,0.329,0.151,1
0.146,0.245,0.184,1
0.146,0.337,0.153,1
0.147,0.298,0.157,1
0.129,0.279,0.175,1
0.138,0.284,0.204,1
0.177,0.223,0.128,1
0.128,0.286,0.222,1
0.138,0.313,0.153,1
0.142,0.252,0.150,1
0.181,0.541,0.547,4
0.176,0.576,0.476,4
0.174,0.576,0.577,4
0.174,0.560,0.585,4
0.176,0.580,0.471,4
0.177,0.565,0.480,4
0.175,0.576,0.469,4
0.172,0.622,0.423,4
0.175,0.590,0.457,4
0.176,0.594,0.463,4
0.173,0.609,0.433,4
0.024,0.712,0.384,5
0.023,0.729,0.386,5
0.025,0.724,0.394,5
0.021,0.680,0.425,5
0.027,0.620,0.515,5
0.032,0.695,0.556,5
0.031,0.680,0.587,5
0.025,0.698,0.414,5
0.029,0.675,0.444,5
0.028,0.668,0.526,5
0.029,0.676,0.469,5
0.034,0.641,0.640,5
0.024,0.693,0.402,5
0.024,0.709,0.454,5
0.605,0.441,0.388,2
0.609,0.431,0.420,2
0.625,0.406,0.412,2
0.600,0.444,0.397,2
0.603,0.493,0.330,2
0.615,0.360,0.408,2
0.601,0.411,0.394,2
0.610,0.480,0.338,2
0.617,0.408,0.379,2
0.607,0.455,0.362,2
0.616,0.472,0.294,2
0.606,0.414,0.408,2
0.600,0.405,0.408,2
0.606,0.466,0.407,2
0.609,0.441,0.448,2
0.603,0.467,0.325,2
0.521,0.059,0.375,6
0.514,0.060,0.368,6
0.524,0.064,0.405,6
0.490,0.045,0.347,6
0.530,0.066,0.390,6
0.576,0.088,0.500,6
0.420,0.038,0.650,6
0.536,0.070,0.423,6
0.551,0.089,0.509,6
0.548,0.082,0.469,6
0.563,0.092,0.527,6
0.566,0.088,0.504,6
0.461,0.051,0.686,6
0.564,0.104,0.575,6
0.559,0.103,0.582,6
0.560,0.100,0.564,6
0.553,0.102,0.541,6
0.446,0.051,0.671,6
0.562,0.106,0.584,6
0.545,0.097,0.522,6
0.173,0.544,0.619,4
0.179,0.525,0.544,4
0.572,0.107,0.577,6
0.569,0.101,0.573,6
0.577,0.099,0.519,6
0.564,0.084,0.484,6
0.608,0.420,0.403,2
0.567,0.103,0.582,6
0.564,0.093,0.515,6
0.590,0.119,0.543,6
0.534,0.054,0.669,6
0.399,0.048,0.541,6
0.572,0.108,0.586,6
0.576,0.108,0.594,6
